"","R15-002","R15-006","R15-007","R15-009","R15-010.1","R15-010.2","R16-003-03","R16-004-01.1","R16-005-01","R16-006-01","R17-001-02","R17-002-02","R17-002-03","R17-003-01","R17-004-01","R17-004-03","R17-005-01","R17-007-03","R17-008-02","R18-002-01.1","R18-002-01.2","R18-003-02","R18-003-03","R18-004-02","R18-004-03","R18-005-03","R18-006-01","R18-006-03","R18-007-02","R18-007-03","R18-008-01","R18-009-02.1","R18-009-02.2","R18-010-01","R18-010-02","R18-010-03","R18-013-01","R18-014-01","R18-015-01","R18-017-01","R18-018-02","R18-019-01","R18-019-02.1","R18-019-02.2","R18-020-01","R18-022-03","R18-023-03","R18-024-01","R18-024-02"
"R18-003-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868349619978285,0.890566037735849,0.862230419977299,0.865725806451613,0.888592301208205,0.887012987012987,0.88255033557047,0.886547585821937,0.872773536895674,0.859781121751026,0.8826099210823,0.873314993122421,0.88623595505618,0.889593908629442,0.893491972477064,0.892429724464236,0.884604316546763,0.875260494194701,0.881437768240343,0.867461806486197,0.872993119266055,0.875946173254836,0.871750928306198,0.869518332135155,0.896785813244666,0.900110375275938,0.876083423618635
"R18-003-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897183449651047,0.889476467477525,0.897870760089131,0.86695334897055,0.915598290598291,0.91871921182266,0.896353901070882,0.850726552179657,0.903388973191705,0.912345354040537,0.912761079979623,0.868762993762994,0.870988781633185,0.874030489435678,0.932568334192883,0.864588859416446,0.904925701706109,0.891563275434243,0.907599309153713,0.924114225277631,0.867032392894462,0.855371900826446,0.847878998609179,0.901530612244898,0.896859841715599,0.902882205513785
"R18-004-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.880720673329826,0.884083044982699,0.8871975019516,0.894729837636412,0.904479089334323,0.894324601951721,0.870882740447958,0.894218631658672,0.898764133578754,0.898882113821138,0.883958602846054,0.892036553524804,0.898960277259398,0.908110882956879,0.880121596616442,0.892887029288703,0.906936558874352,0.893569844789357,0.8864,0.877832768950247,0.873804463336876,0.867937608318891,0.91986283972568,0.916030534351145,0.891695847923962
"R18-004-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877160817181771,0.859288864388093,0.859344076901329,0.872999212805038,0.860386079390973,0.832039911308204,0.874699759807846,0.896109271523179,0.885833109739737,0.845306908890724,0.855509641873278,0.86231884057971,0.87666939220496,0.84392575928009,0.9062955406587,0.876870569703334,0.882360638576289,0.884862898712927,0.838962108731466,0.833379849288306,0.840515718827269,0.884157880508246,0.889533315349339,0.960363444824862
"R18-005-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857976653696498,0.868680149015434,0.880059230009872,0.868414322250639,0.839173640167364,0.883484162895928,0.906762028608583,0.90027841052898,0.856755360371997,0.86147859922179,0.874668435013263,0.883025166923472,0.853738809899947,0.864279766860949,0.885496183206107,0.899409739301525,0.886762360446571,0.844711662787691,0.840686922060766,0.838869863013699,0.911853340030136,0.894450076026356,0.893754665339637
"R18-006-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908580043859649,0.88576244813278,0.884584450402145,0.9026330224904,0.859572784810127,0.882385270678758,0.865798564974754,0.904094827586207,0.918292682926829,0.881818181818182,0.888214670981661,0.902302000548095,0.872854233343032,0.881180429717836,0.861903526970954,0.86481223922114,0.903086085544126,0.902958252695604,0.867768595041322,0.894680566693397,0.898296059637913,0.868193717277487
"R18-006-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932264050901379,0.912451896646509,0.903329602686066,0.875710035163646,0.884593679458239,0.905812701829925,0.917006248302092,0.91838417147568,0.897016637980493,0.96665751920966,0.912995289553893,0.91656662665066,0.895827796970502,0.88317880794702,0.911476355247982,0.909925966547848,0.90718899185622,0.864532936360253,0.911177917463788,0.901616881337353,0.872817620198764
"R18-007-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.904500127844541,0.864280094413847,0.884160161168471,0.895719133385539,0.893989348212021,0.881136950904393,0.887486992715921,0.890289201379676,0.950832266325224,0.877144365267881,0.917677881963596,0.906057621275548,0.883156857916769,0.91268794513321,0.877238515442512,0.868121693121693,0.863433858807402,0.913126430933605,0.913087674714104,0.88582480658847
"R18-007-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868729552889858,0.946340192758531,0.889008911693222,0.886578947368421,0.888918629550321,0.893972012917115,0.900330851943755,0.913147410358566,0.881880108991826,0.887313860252005,0.896313364055299,0.88320142966556,0.885793103448276,0.95545746388443,0.957065217391304,0.86841155234657,0.906447368421053,0.898371848739496,0.875905797101449
"R18-008-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.843166043780032,0.853200883002208,0.855995717344754,0.90329162132753,0.914543960558751,0.873672442705422,0.879820749592613,0.923679867986799,0.853010279001468,0.872779519331243,0.852572473230608,0.850832627716624,0.896020714091033,0.894597605123921,0.86046511627907,0.881596752368065,0.876721577099649,0.846957671957672
"R18-009-02.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902442261746748,0.906435006435006,0.860847814639284,0.867576882290562,0.875915378356387,0.889484697881245,0.855436241610738,0.870171976318015,0.89147384305835,0.902662647575986,0.894871794871795,0.923258869908016,0.920748116254037,0.844112478031634,0.898704663212435,0.889808587687532,0.893673780487805
